prname,pruid,reporting_year,reporting_week,date,numtests_weekly,percentpositivity_weekly,update
British Columbia,59,2024,34,2024-08-24,2623,17.9,1
Alberta,48,2024,34,2024-08-24,3213,9.5,1
Saskatchewan,47,2024,34,2024-08-24,1128,12.1,1
Manitoba,46,2024,34,2024-08-24,1121,15.3,1
Ontario,35,2024,34,2024-08-24,6120,15.7,1
Quebec,24,2024,34,2024-08-24,8755,21.1,1
Newfoundland and Labrador,10,2024,34,2024-08-24,580,11.4,1
New Brunswick,13,2024,34,2024-08-24,966,12.6,1
Nova Scotia,12,2024,34,2024-08-24,1069,22.9,1
Prince Edward Island,11,2024,34,2024-08-24,156,14.1,1
Yukon,60,2024,34,2024-08-24,39,5.1,1
Northwest Territories,61,2024,34,2024-08-24,31,9.7,1
Nunavut,62,2024,34,2024-08-24,94,9.6,1
Canada,1,2024,34,2024-08-24,25895,16.8,
British Columbia,59,2024,35,2024-08-31,2571,18.8,1
Alberta,48,2024,35,2024-08-31,3142,10.2,1
Saskatchewan,47,2024,35,2024-08-31,1091,12,1
Manitoba,46,2024,35,2024-08-31,1095,17.2,1
Ontario,35,2024,35,2024-08-31,6459,15.4,1
Quebec,24,2024,35,2024-08-31,9440,22.7,1
Newfoundland and Labrador,10,2024,35,2024-08-31,523,13.2,1
New Brunswick,13,2024,35,2024-08-31,1073,16.8,1
Nova Scotia,12,2024,35,2024-08-31,1198,20.6,1
Prince Edward Island,11,2024,35,2024-08-31,139,15.8,1
Yukon,60,2024,35,2024-08-31,46,21.7,1
Northwest Territories,61,2024,35,2024-08-31,26,30.8,1
Nunavut,62,2024,35,2024-08-31,107,4.7,1
Canada,1,2024,35,2024-08-31,26910,17.9,
British Columbia,59,2024,36,2024-09-07,2807,19.1,1
Alberta,48,2024,36,2024-09-07,3291,12,1
Saskatchewan,47,2024,36,2024-09-07,1140,13.2,1
Manitoba,46,2024,36,2024-09-07,1136,18.9,1
Ontario,35,2024,36,2024-09-07,5813,16.4,1
Quebec,24,2024,36,2024-09-07,9733,22.4,1
Newfoundland and Labrador,10,2024,36,2024-09-07,511,14.5,1
New Brunswick,13,2024,36,2024-09-07,1064,16.5,1
Nova Scotia,12,2024,36,2024-09-07,1205,18.9,1
Prince Edward Island,11,2024,36,2024-09-07,123,20.3,1
Yukon,60,2024,36,2024-09-07,33,18.2,1
Northwest Territories,61,2024,36,2024-09-07,42,23.8,1
Nunavut,62,2024,36,2024-09-07,91,5.5,1
Canada,1,2024,36,2024-09-07,26989,18.4,
British Columbia,59,2024,37,2024-09-14,2924,18.9,1
Alberta,48,2024,37,2024-09-14,3571,11.6,1
Saskatchewan,47,2024,37,2024-09-14,1305,12.8,1
Manitoba,46,2024,37,2024-09-14,1118,16.4,1
Ontario,35,2024,37,2024-09-14,7089,18.3,1
Quebec,24,2024,37,2024-09-14,10850,22.3,1
Newfoundland and Labrador,10,2024,37,2024-09-14,566,15.7,1
New Brunswick,13,2024,37,2024-09-14,1158,17.1,1
Nova Scotia,12,2024,37,2024-09-14,1331,18,1
Prince Edward Island,11,2024,37,2024-09-14,130,12.3,1
Yukon,60,2024,37,2024-09-14,56,23.2,1
Northwest Territories,61,2024,37,2024-09-14,37,18.9,1
Nunavut,62,2024,37,2024-09-14,97,9.3,1
Canada,1,2024,37,2024-09-14,30232,18.5,
British Columbia,59,2024,38,2024-09-21,2178,16.5,1
Alberta,48,2024,38,2024-09-21,3919,12,1
Saskatchewan,47,2024,38,2024-09-21,1324,13.4,1
Manitoba,46,2024,38,2024-09-21,1105,18,1
Ontario,35,2024,38,2024-09-21,7047,18.5,1
Quebec,24,2024,38,2024-09-21,11264,22.9,1
Newfoundland and Labrador,10,2024,38,2024-09-21,775,13,1
New Brunswick,13,2024,38,2024-09-21,1272,16,1
Nova Scotia,12,2024,38,2024-09-21,1339,20.8,1
Prince Edward Island,11,2024,38,2024-09-21,136,11,1
Yukon,60,2024,38,2024-09-21,50,8,1
Northwest Territories,61,2024,38,2024-09-21,47,12.8,1
Nunavut,62,2024,38,2024-09-21,111,9,1
Canada,1,2024,38,2024-09-21,30567,18.7,
